headword	grammar	genitive	etymology
ἀγριο-κρόμμυον	τό		
ἀγριο-κύμῑνον	τό		
ἀγριο-λειχήν	ὁ		
ἀγρίολον	τό		
ἀγριο-μᾰλάχη	ἡ		
ἀγριο-μέλιττα	ἡ		
ἀγριό-μορφος	ον		
ἀγριο-μῠρίκη	ἡ		
ἀγριο-πήγανον	τό		
ἀγριο-πηγός	ὁ		πήγνυμι
ἀγριορίγᾰνος	ὁ		
ἀγριόρροδον	τό		i.e. Κελτικὴ νάρδος
ἄγριος	ον		
ἀγριο-σέλῑνον	τό		
ἀγριο-σίκυον	τό		
ἀγριο-σῡκῆ	ἡ		
ἀγριό-της	ἡ	ητος	
ἀγριό-φαγρος	ὁ		
ἀγριο-φανής	ές		
ἀγριό-φυλλον	τό		
ἀγριό-φωνος	ον		
ἀγριό-χοιρος	ὁ		
ἀγριο-ψωρία	ἡ		ψώρα
ἄγριππος	ὁ		
ἀγρίς	ἡ		
ἀγρίτης	ὁ	ου	
ἀγρίφη	ἡ		
Ἀγριώνιος	ὁ		
ἀγρο-βόας	ὁ		
ἀγρο-βότης	ὁ	α	
ἀγρο-γείτων	ὁ	ονος	
ἀγρο-δίαιτος	ον		
ἀγρο-δότης	ὁ	ου	ἄγρα
ἀγροικ-ία	ἡ		
ἀγροικοπυρρώνειος	ὁ		
ἄγροικος	ον		ἀγρός, οἰκέω
ἀγροικόσοφος	ον		
ἀγροιώτης	ὁ	ου	
ἀγρο-κήπιον	τό		
ἀγρό-κηπος	ὁ		
ἀγρο-κόμος	ὁ		
ἀγρ-ολέτειρα	ἡ		
ἀγρομενής	ές		
ἀγρο-νόμος	ον		νέμομαι
ἀγρο-πόνος	ὁ		
ἀγρός	ὁ	οῦ	
ἀγροτέκτων	ὁ		
ἀγρό-τερος	ον		ἀγρός; properly opp. ὀρέσ-τερος
ἀγρο-τήρ	ὁ	ῆρος	
ἀγρό-της	ὁ	ου	ἀγρός
ἀγροφύλαξ	ὁ		
ἄγρυκτος	ον		ἀ- priv., γρύζω
ἀγρυξία	ἡ		
ἀγρυπν-ητήρ	ὁ	ῆρος	
ἀγρυπν-ία	ἡ		
ἄγρυπν-ος	ον		
ἄγρωμα	τό		
ἄγρωσσα	ἡ		
ἀγρ-ώστης	ὁ	ου	
ἀγρ-ωστήρ	ὁ	ῆρος	
ἀγρ-ώτηρ	ὁ		
ἀγρ-ώτης	ὁ	ου	
ἄγ-υια	ἡ	ᾶς	
ἀγ-υιαῖος	ον		
ἀγ-υιάτης	ὁ	ου	
ἀγ-υιᾶτις	ἡ	ιδος	
Ἀγυι-εύς	ὁ	έως	
Ἀγυί-ηος	ὁ		
ἀγυιό-πεζα Κουρῆτις	ἡ		
ἄγυιος	ον		
ἀγυμν-ᾰσία	ἡ		γυμνάζω
ἀγύμν-αστος	ον		
ἀγύναιξ	ὁ		γυνή
ἄγῠρ-ις	ἡ	ιος	
ἀγῠρ-ισμός	ὁ		
ἄγῠρ-μα	τό	ατος	
ἀγῠρ-μός	ὁ		
ἀγῠρ-τεία	ἡ		
ἀγῠρ-τευτής	ὁ	οῦ	
ἀγῠρ-τήρ	ὁ	ῆρος	
ἀγύ̆ρ-της	ὁ	ου	ἀγείρω
ἀγύ̆ρ-τρια	ἡ		
ἄγυψος	ον		
ἄγχαυρος	ον		ἄγχι, αὔριον
ἀγχέ-μᾰχος	ον		
ἀγχε-μωλία	ἡ		μῶλος, cf. ἀμφι-μωλέω
ἀγχί-ᾰλος	ον		
ἀγχι-βᾰθής	ές		
ἀγχι-βάτης	ὁ	ου	
ἀγχί-γᾰμος	ον		
ἀγχι-γείτων	ον		
ἀγχί-γῠος	ον		γύης
ἀγχί-δομος	ον		
ἀγχι-θάλασσος	ον		
ἀγχί-θεος	ον		
ἀγχί-θῠρος	ον		
ἀγχι-κέλευθος	ον		
ἀγχί-κρημνος	ον		
ἀγχί-κρηνος	ον		
ἀγχι-λεχής	ές		
ἀγχί-λωψ	ὁ	ωπος	
ἀγχι-μᾰχητής	ὁ	οῦ	
ἀγχί-μᾰχος	ον		
ἀγχί-μολος	ον		μολεῖν
ἄγχιμος	ον		ἄγχι
ἀγχί-μουσος	ον		
ἀγχι-νεφής	ές		
ἀγχί-νοια	ἡ		νοέω
ἀγχί-νοος	ον		
ἀγχί-πλοος	ον		
ἀγχί-πορος	ον		
ἀγχί-πους	ὁ		
ἀγχίρροος	ον		
ἀγχίσπορος	ον		
ἀγχιστ-εία	ἡ		ἄγχιστος
ἀγχιστ-εύς	ὁ	έως	
ἀγχιστ-ήρ	ὁ	ῆρος	
ἀγχιστ-ῖνος	ον		
ἄγχιστ-ος	ον		
ἀγχί-στροφος	ον		
ἀγχι-τελής	ές		
ἀγχι-τέρμων	ον		τέρμα
ἀγχι-τόκος	ον		
ἀγχι-φανής	ές		
ἀγχί-φυτος	ον		
ἀγχίων	ον		
ἀγχ-όμορος	ον		
ἀγχόν-η	ἡ		ἄγχω
ἀγχόν-ιος	ον		
ἀγχον-ιστής	ὁ		
ἀγχότερος	ον		
ἄγχουρος	ον		ἄγχι, οὖρος Ion. for ὅρος
ἄγχουρος	ὁ		
ἄγχουσα	ἡ		
ἀγχύνωψ	ὁ	ωπος	
ἀγχώμᾰλος	ον		ὁμαλός
ἀγωγαῖος	ον		ἀγωγή
ἀγωγεῖον	τό		
ἀγωγεύς	ὁ	έως	
ἀγωγή	ἡ		ἄγω
ἀγώγιμος	ον		
ἀγώγιον	τό		
